param	ns	:=	100	;																																																																																																		
136	1.0715096																																																																																																					
137	1.2170386																																																																																																					
138	0.0006345																																																																																																					
139	0.0289223																																																																																																					
140	0.2398886																																																																																																					
141	0.4881937																																																																																																					
142	0.6606453																																																																																																					
143	0.7724271																																																																																																					
144	0.8634633																																																																																																					
145	0.0143785																																																																																																					
146	0.1464278																																																																																																					
147	0.2855371																																																																																																					
148	0.3719662																																																																																																					
149	0.4222978																																																																																																					
150	0.4628561																																																																																																					
151	0.0395177																																																																																																					
152	0.0753183																																																																																																					
153	0.0935949																																																																																																					
154	0.1025455																																																																																																					
155	0.1104443																																																																																																					
156	0.0000049																																																																																																					
157	0.0003985																																																																																																					
158	0.0012626																																																																																																					
159	0.0023191																																																																																																					
160	0.0001229																																																																																																					
161	0.0010031																																																																																																					
162	0.0019225																																																																																																					
163	0.0006281																																																																																																					
164	0.0016435																																																																																																					
165	0.0005694																																																																																																					
166	0.0000057																																																																																																					
167	0.0002665																																																																																																					
168	0.0012681																																																																																																					
169	0.0051232																																																																																																					
170	0.0603410																																																																																																					
171	0.4295826																																																																																																					
172	1.0416511																																																																																																					
173	1.5372106																																																																																																					
174	1.8855467																																																																																																					
175	2.1818574																																																																																																					
176	0.0000337																																																																																																					
177	0.0007472																																																																																																					
178	0.0036198																																																																																																					
179	0.0541247																																																																																																					
180	0.3973144																																																																																																					
181	0.9474864																																																																																																					
182	1.3756978																																																																																																					
183	1.6665843																																																																																																					
184	1.9147729																																																																																																					
185	0.0005610																																																																																																					
186	0.0027579																																																																																																					
187	0.0481037																																																																																																					
188	0.3592183																																																																																																					
189	0.8336104																																																																																																					
190	1.1834552																																																																																																					
191	1.4112768																																																																																																					
192	1.6091538																																																																																																					
193	0.0010410																																																																																																					
194	0.0384003																																																																																																					
195	0.3025567																																																																																																					
196	0.6749480																																																																																																					
197	0.9292738																																																																																																					
198	1.0870210																																																																																																					
199	1.2329058																																																																																																					
200	0.0258465																																																																																																					
201	0.2245616																																																																																																					
202	0.4654290																																																																																																					
203	0.6119459																																																																																																					
204	0.7006325																																																																																																					
205	0.8004834																																																																																																					
206	0.1054704																																																																																																					
207	0.2005316																																																																																																					
208	0.2492647																																																																																																					
209	0.2889249																																																																																																					
210	0.3622825																																																																																																					
211	0.0056676																																																																																																					
212	0.0151215																																																																																																					
213	0.0445582																																																																																																					
214	0.1162184																																																																																																					
215	0.0071098																																																																																																					
216	0.0358971																																																																																																					
217	0.1061974																																																																																																					
218	0.0224415																																																																																																					
219	0.0898712																																																																																																					
220	0.0541506																																																																																																					
221	0.0004963																																																																																																					
222	0.0008552																																																																																																					
223	0.0021269																																																																																																					
224	0.0069071																																																																																																					
225	0.0649173																																																																																																					
226	0.4475397																																																																																																					
227	1.1469783																																																																																																					
228	1.7588659																																																																																																					
229	2.1814792																																																																																																					
230	2.5446380																																																																																																					
231	0.0002559																																																																																																					
232	0.0013189																																																																																																					
233	0.0051974																																																																																																					
234	0.0587629																																																																																																					
235	0.4174350																																																																																																					
236	1.0525272																																																																																																					
237	1.5880163																																																																																																					
238	1.9445501																																																																																																					
239	2.2500470																																																																																																					
240	0.0006634																																																																																																					
241	0.0032053																																																																																																					
242	0.0502895																																																																																																					
243	0.3754530																																																																																																					
244	0.9256049																																																																																																					
245	1.3669575																																																																																																					
246	1.6473762																																																																																																					
247	1.8896459																																																																																																					
248	0.0011731																																																																																																					
249	0.0399758																																																																																																					
250	0.3200536																																																																																																					
251	0.7603275																																																																																																					
252	1.0892891																																																																																																					
253	1.2864806																																																																																																					
254	1.4638053																																																																																																					
255	0.0279110																																																																																																					
256	0.2468285																																																																																																					
257	0.5454437																																																																																																					
258	0.7456476																																																																																																					
259	0.8594185																																																																																																					
260	0.9772016																																																																																																					
261	0.1334323																																																																																																					
262	0.2700868																																																																																																					
263	0.3466536																																																																																																					
264	0.3971949																																																																																																					
265	0.4760151																																																																																																					
266	0.0215071																																																																																																					
267	0.0375942																																																																																																					
268	0.0710102																																																																																																					
269	0.1428514																																																																																																					
270	0.0101785																																																																																																					
271	0.0436247																																																																																																					
272	0.1150958																																																																																																					
273	0.0268799																																																																																																					
274	0.0960536																																																																																																					
275	0.0583210																																																																																																					
276	0.0902182																																																																																																					
277	0.2209741																																																																																																					
278	0.3532655																																																																																																					
279	0.5200325																																																																																																					
280	0.6990950																																																																																																					
281	1.0317529																																																																																																					
282	1.6287624																																																																																																					
283	2.1528974																																																																																																					
284	2.5148717																																																																																																					
285	2.8284998																																																																																																					
286	0.1104875																																																																																																					
287	0.2429191																																																																																																					
288	0.4074607																																																																																																					
289	0.5807982																																																																																																					
290	0.8920015																																																																																																					
291	1.4305156																																																																																																					
292	1.8866643																																																																																																					
293	2.1907151																																																																																																					
294	2.4547556																																																																																																					
295	0.1100463																																																																																																					
296	0.2715198																																																																																																					
297	0.4381414																																																																																																					
298	0.7227859																																																																																																					
299	1.1889650																																																																																																					
300	1.5651118																																																																																																					
301	1.8050154																																																																																																					
302	2.0166778																																																																																																					
303	0.1346270																																																																																																					
304	0.2940496																																																																																																					
305	0.5444405																																																																																																					
306	0.9181403																																																																																																					
307	1.1995971																																																																																																					
308	1.3700077																																																																																																					
309	1.5285251																																																																																																					
310	0.1273031																																																																																																					
311	0.3383388																																																																																																					
312	0.6014537																																																																																																					
313	0.7798170																																																																																																					
314	0.8835586																																																																																																					
315	0.9955436																																																																																																					
316	0.1435518																																																																																																					
317	0.2775028																																																																																																					
318	0.3547848																																																																																																					
319	0.4069087																																																																																																					
320	0.4882736																																																																																																					
321	0.0246052																																																																																																					
322	0.0457463																																																																																																					
323	0.0824474																																																																																																					
324	0.1585669																																																																																																					
325	0.0154310																																																																																																					
326	0.0524185																																																																																																					
327	0.1283002																																																																																																					
328	0.0305852																																																																																																					
329	0.1040862																																																																																																					
330	0.0637727																																																																																																					
331	0.2632825																																																																																																					
332	0.5939295																																																																																																					
333	0.9159079																																																																																																					
334	1.1362222																																																																																																					
335	1.3527944																																																																																																					
336	1.6453608																																																																																																					
337	2.1324299																																																																																																					
338	2.5561341																																																																																																					
339	2.8570941																																																																																																					
340	3.1333240																																																																																																					
341	0.2847379																																																																																																					
342	0.6070341																																																																																																					
343	0.8286530																																																																																																					
344	1.0430911																																																																																																					
345	1.3232608																																																																																																					
346	1.7699375																																																																																																					
347	2.1454092																																																																																																					
348	2.4037314																																																																																																					
349	2.6419252																																																																																																					
350	0.2753493																																																																																																					
351	0.4991673																																																																																																					
352	0.7112436																																																																																																					
353	0.9768587																																																																																																					
354	1.3746775																																																																																																					
355	1.6939668																																																																																																					
356	1.9052038																																																																																																					
357	2.1030799																																																																																																					
358	0.1854128																																																																																																					
359	0.3933598																																																																																																					
360	0.6401690																																																																																																					
361	0.9753354																																																																																																					
362	1.2275594																																																																																																					
363	1.3869703																																																																																																					
364	1.5429407																																																																																																					
365	0.1718718																																																																																																					
366	0.3849399																																																																																																					
367	0.6230143																																																																																																					
368	0.7880963																																																																																																					
369	0.8893865																																																																																																					
370	1.0024423																																																																																																					
371	0.1533915																																																																																																					
372	0.2812274																																																																																																					
373	0.3636490																																																																																																					
374	0.4205757																																																																																																					
375	0.5045981																																																																																																					
376	0.0300837																																																																																																					
377	0.0673174																																																																																																					
378	0.1103646																																																																																																					
379	0.1873137																																																																																																					
380	0.0313144																																																																																																					
381	0.0747925																																																																																																					
382	0.1515276																																																																																																					
383	0.0368465																																																																																																					
384	0.1122569																																																																																																					
